;No;Tweet;Relevant/irrelevant;Sentiment;Intensity;Attitude;Link
85;93;"@GetNewsd Pls inform d international community @UNOCHA @UN_Spokesperson @Refugees @UNDPPA @UNHumanRights @UNPeacekeeping @UN @Pontifex @realDonaldTrump @PMOIndia @nytopinion @IvankaTrump
";irrelevant;neutral;medium;unrelated;http://twitter.com/EMulalable/statuses/1181236137362382849
86;94;"@gogoChibu @Multeci1i @rukkoc @Refugees You cannot deny that Gulenists are at the top of the genocide list and Gulenism has nothing to do with the ISIS. All the world know this truth, actually the ISIS mentality, including Erdoganism hate the Gulenism philosopy(punkt).
";irrelevant;neutral;medium;unrelated;http://twitter.com/merebmilas/statuses/1181259736823533568
87;95;@grannies4equal @Refugees @OIT_AmerCentral @lemondefr @BBCWorld;irrelevant;neutral;low;unrelated;http://twitter.com/Fawz91574704/statuses/1181194506667995137
88;96;"@HamidAli_777 @UNHCRPakistan @ShehryarAfridi1 @Refugees Mind your own business, they not eat ur bread
";irrelevant;neutral;high;unrelated;http://twitter.com/GhimireyIndra/statuses/1181174451242561536
89;97;"@haydenblack @realDonaldTrump Remember it creates jobs for the American People serving in the @USMC @USArmy @CIA @RedCross @Refugees in these conflicted areas and acting as frontliners in US interests overseas
";irrelevant;neutral;medium;unrelated;http://twitter.com/freedomme18/statuses/1100808545224871937
90;98;@HRNewsOfficial @INCIndia @amnesty @hrw @OHCHRAsia @UNHumanRights @UN @CNN @UNRWA @Refugees @UN @UNGeneva @UNSCO_MEPP @UNSCN;irrelevant;neutral;low;unrelated;http://twitter.com/MPT2019/statuses/1172601213319294976
91;99;"@jeslllll @BrianAdams52 @Radio702 @CyrilRamaphosa @realDonaldTrump @Refugees @UNICEF_SA @UN @SABCNewsOnline @ICCwatch @EU_Commission @Europarl_EN @IvankaTrump @10DowningStreet @UKParliament @BBCAfrica @cnnbrk @CNN @foxnewsalert @FoxNews @SAPoliceService Don't bother with @SAHRCommission they won't be interested, only if they think it's in ANC interest or anti white. Anything else they won't touch.
";irrelevant;negative;high;unrelated;http://twitter.com/IragiFalah/statuses/1172792257143091200
92;100;@IdlibPlus @Refugees @UN @OIT_AmerCentral @washingtonpost @welt;irrelevant;neutral;low;unrelated;http://twitter.com/2gEbx2ixnCoFdYa/statuses/1172875393763819520
93;101;"@iffat9 @UN @cnni @Maggie_DeBlock @Refugees @PressSec @antonioguterres @AsstSecStateAF @StateDept @iffat9 @Europarl_EN @CNN @USUN @NRC_Egeland @AJENews @USAmbUN @mbachelet @BorisJohnson @FinlandUN @BelgiumUNGeneva @UKParliament @UN_Cameroon @GermanyUN @realDonaldTrump @hrw @amnestyusa
";irrelevant;neutral;low;unrelated;http://twitter.com/Galela15505225/statuses/1172857153591398400
94;102;"@ItalyUN_Geneva @Refugees @ItalyMFA https://t.co/LpfILyfKWM
";irrelevant;neutral;medium;unrelated;http://twitter.com/Galela15505225/statuses/1172790950181113858
95;103;"@itsanitarani @UN @Refugees I walked past you and didn't even know it was you! you should wear a name badge
";irrelevant;neutral;medium;unrelated;http://twitter.com/Galela15505225/statuses/1172749525657817088
96;104;"@javaidShaikh @Refugees @realDonaldTrump @Pontifex @AFP @G7 @hrw @UNHumanRights @MediaCellPPP @capt_amarinder @TwitterMoments @HuffPost @BBhuttoZardari @VP @HamidMirPAK @BillGates @melindagates @gatesfoundation @UN @UN_PGA @UNDP @UNEnvironment @UNICEF
";irrelevant;neutral;low;unrelated;http://twitter.com/Galela15505225/statuses/1172748302548373504
97;105;"@javaidShaikh @ShkhRasheed @realDonaldTrump @Refugees @realDonaldTrump @Pontifex @AFP @G7 @hrw @UNHumanRights @MediaCellPPP @capt_amarinder @TwitterMoments @HuffPost @BBhuttoZardari @VP @HamidMirPAK @BillGates @melindagates @gatesfoundation @UN @UN_PGA @UNDP @UNEnvironment @UNICEF
";irrelevant;neutral;low;unrelated;http://twitter.com/kaygli_yurt/statuses/1181281706164330497
98;106;@JustinTrudeau @billshortenmp @jacindaardern @HonAhmedHussen @SBSNews @SBS @AJENews @TheJusticeDept @hrw @UNHumanRights @UNHCRCanada @RefugeesMedia @UNGeneva @Refugees @HelpRefugees #HELPREFUGEESININDONISA #RESETTLEMENT4SINGLEREFUGES https://t.co/4hN5YtI2;irrelevant;positive;high;unrelated;http://twitter.com/truthdiviner/statuses/1145187288739012613
99;107;"@KassyDillon @LincolnsBible @NewYorkStateAG @NewYorkFBI @UNHumanRights @Refugees @NATO @SpeakerPelosi @RepJerryNadler @RepAdamSchiff @RepCummings @RepMaxineWaters @SenWhitehouse @SenBlumenthal @JohnBrennan 🔥‼️RU MOB Trump/*45 knows he’s going down,that’s why he’s killing pple—and it’s going to be lots of innocent pple. It’s no surprise that he will whistle to the Kag’s/Maga’s to kill for him in sedition &stochastic terrorism benders.The longer the maggot is in WH more pple killed
";irrelevant;negative;high;unrelated;http://twitter.com/ChoonaraShakira/statuses/1172806388197859328
100;108;"@KassyDillon @LincolnsBible @NewYorkStateAG @NewYorkFBI @UNHumanRights @Refugees @NATO @SpeakerPelosi @RepJerryNadler @RepAdamSchiff @RepCummings @RepMaxineWaters @SenWhitehouse @SenBlumenthal @JohnBrennan 🔥‼️Trump/*45 uses the RU MOB as his Intel, but really, since he’s a sick, creepy MAGGOT, it’s all about killing people whenever he wants to feel good about himself—there’s a place for scum maggots like this, it’s called life in FEDERAL PRISON in a SUPER MAX to rot broke
";irrelevant;negative;high;unrelated;http://twitter.com/migrationke/statuses/1180773421199892480
101;109;"@KassyDillon @LincolnsBible 🔥‼️RU MOB TRUMP & TERRORIST NEEDS epic REMOVAL NOW w/ decades in prison w/asset seizure &forfeiture @NewYorkStateAG @NewYorkFBI @UNHumanRights @Refugees @NATO @SpeakerPelosi @RepJerryNadler @RepAdamSchiff @RepCummings @RepMaxineWaters @SenWhitehouse @SenBlumenthal @JohnBrennan
";irrelevant;negative;high;unrelated;http://twitter.com/AbdullahiNadiir/statuses/1172800856279961600
102;110;"@KassyDillon 🔥‼️When RU MOB Trump kills Kurds for fun b/c he’s a revolting maggot,he needs impeachment& REMOVAL for CRIMES AGAINST HUMANITY @NewYorkStateAG @NewYorkFBI @UNHumanRights @Refugees @NATO @jacindaardern @TurnbullMalcolm @JustinTrudeau @SpeakerPelosi @RepJerryNadler @RepAdamSchiff
";irrelevant;negative;high;unrelated;http://twitter.com/aenergiebewust/statuses/1181308558589272064
103;111;@Jaykaul @kakar_harsha Cc @UNHumanRights @Refugees @EUHomeAffairs @HouseDemocrats @SubcomitteeHR;irrelevant;neutral;low;unrelated;http://twitter.com/UDHRforAll/statuses/1181222942316867584
104;112;@JesusisLord50 @BlackSwans8 @verniejim @1CubbieKat1 @Wolfpak561 @tcunderdahl @zypisfy @jools6691 @mikenedie @Cern_lXXl @garym9999 @rmbctious @ellen5e @afperezb9 @sonjamotzkus @MuellerSheWrote @tklforgiven @ImNotASkeleton2 @CATGOD24 @Duke1CA @debbiepalm44 ;irrelevant;neutral;low;unrelated;http://twitter.com/UDHRforAll/statuses/1181222810670247936
105;113;"@JFCrisp @Refugees @UNFPA @unhcrdata @PopDevUNFPA Yeah, it's a best guess based on contextual expert opinion but we really need to do better at coming up with a robust estimate. So we're working on both improving our global estimate thru demographic methods and improving national statistical reporting.
";irrelevant;neutral;medium;unrelated;http://twitter.com/UDHRforAll/statuses/1181223831433830407
106;114;@jha_mj @UN @hrw @skylineforhuman @CNN @BBCWorld @amnestyusa @Refugees @realDonaldTrump @Greenpeace @UNHumanRights U think all d world is stupid like u indians !! Cutting fruitful trees by army personals is ripping apples !! How stupid u guys r Shaat app;irrelevant;neutral;low;unrelated;http://twitter.com/UDHRforAll/statuses/1181223746373406725
107;115;@jiks @fgautier26 @Refugees @UN @UNGeneva @UNHumanRights . First give justice to ORIGINAL INHABITANTS OF KASHMIR , THE PANDITS , then comment about current scenario. 🤔;irrelevant;neutral;medium;unrelated;http://twitter.com/khambatki/statuses/1181219479822356480
108;116;@JimDicksLambeth @RashidNix @Refugees @UN @lambeth_council @LambethHousing @Shelter @helenhayes_ @jeremycorbyn @brixtonbuzz Thanks Jim. i will email yous;irrelevant;neutral;low;unrelated;http://twitter.com/VauPiku/statuses/1181293714997682178
109;117;@joelleeid @Refugees @ZahraaGhandour @GinoRaidy @AbeerEtefa @DinaElKassaby @MarcSanzLopez Indian army killes kashmir's peoples https://t.co/SVHiw4KeQ2;irrelevant;neutral;medium;unrelated;http://twitter.com/sunnyokon8/statuses/1181379527848681472
110;118;"@KhaledErksoussi @SYRedCrescent @Refugees https://t.co/LpfILyfKWM
";irrelevant;neutral;low;unrelated;http://twitter.com/Hamad33512293/statuses/1181208053372325894
111;119;@khateebunhcr @Refugees @UNHCR_Arabic 🥰🥰🥰;irrelevant;neutral;low;unrelated;http://twitter.com/DaveDwalker70/statuses/1181254284500975616
112;120;@khojastehbahar1 @SecPompeo @POTUS @DrGillLeighton @Refugees And @AmnestyUK, @drewerydyke and the @ICRC. Must not forget anyone. :) Sepas;irrelevant;neutral;low;unrelated;http://twitter.com/EshietIniobong/statuses/1181268744540217347
113;121;@kneadinghands @ChuckKeller14 @Helen504 @ldog562 @HanianEmpress @DocHollywoodM @keanothedog @madmamavotes @janejane24 @Tonia8675309 @wbojko @BobA1959 @shashatheitch22 @RonniLaurie @jclark5788 @dougarrell @EveScottGarner @tango793_anne @KITTYBAYOUTSFAN @Ld;irrelevant;neutral;low;unrelated;http://twitter.com/ShahilQuresh1/statuses/1181206173103509510
114;122;@kneadinghands @EveScottGarner @Helen504 @ldog562 @HanianEmpress @DocHollywoodM @keanothedog @madmamavotes @janejane24 @Tonia8675309 @62WalterP @ChuckKeller14 @wbojko @BobA1959 @shashatheitch22 @RonniLaurie @jclark5788 @dougarrell @tango793_anne @KITTYBAY;irrelevant;neutral;low;unrelated;http://twitter.com/HeruDwiS99/statuses/1181254479393378304
115;123;@kneadinghands @Helen504 @ldog562 @HanianEmpress @DocHollywoodM @keanothedog @madmamavotes @janejane24 @Tonia8675309 @62WalterP @wbojko @BobA1959 @shashatheitch22 @RonniLaurie @jclark5788 @dougarrell @EveScottGarner @tango793_anne @KITTYBAYOUTSFAN @Ldogls;irrelevant;neutral;low;unrelated;http://twitter.com/Meeldy2/statuses/1181224998146588672
116;124;@Konchu_klan @Naneve2 @RepKarenBass @AsstSecStateAF @StateDept @USUN @GermanyUN @franceonu @HouseForeign @SenateForeign @swiss_un @OsloFF @hrw @UN @cnni @Maggie_DeBlock @Refugees @PressSec @antonioguterres @AsstSecStateAF @StateDept @iffat9 @Europarl_EN @;irrelevant;neutral;low;unrelated;http://twitter.com/EshietIniobong/statuses/1181267200616910849
117;125;"@LeanneManas @Refugees @LuQuLuQuTribe https://t.co/LpfILyfKWM
";irrelevant;neutral;low;unrelated;http://twitter.com/Maggie58383394/statuses/1181304948023316480
118;126;"@LibyaLiberty @AJBalkans @AJENews @Reuters @reuterspictures @republic @cnni @CNN @cnnbrk @GerrySimpsonHRW @hrwdispatches @antonioguterres @UN @UNESCO @Refugees @UNICEF @IlhanMN @ndtv @AFP @BBCNews @BBCWorld @bbcworldservice @ANI
";irrelevant;neutral;low;unrelated;http://twitter.com/sushmitakumar7/statuses/1181378897818144768
119;127;"@LilaGraceRose @Refugees all of Venezuela is a failed state, corruption of socialist the cause mostly; all are suffering
";irrelevant;neutral;high;unrelated;http://twitter.com/nggiaphon/statuses/1181208033021460481
120;128;"@LilaGraceRose @Refugees Amen!!! Great tweet, Lila!
";irrelevant;neutral;high;unrelated;http://twitter.com/HeruDwiS99/statuses/1181248542700032000
121;129;"@LilaGraceRose @Refugees eat shit, Lila. 💕
";irrelevant;neutral;high;unrelated;http://twitter.com/8ms18/statuses/1181314625528324098
122;130;"@LilaGraceRose @Refugees The last wobbly & weakened leg of the stool that was the seat of excuses girls plopped on to pay to have their unborn children murdered w/ impunity just collapsed. #Prolife TRUMPED #Abortion #SCOTUS will have No #CHOICE but to Rule https://t.co/78DX8fAu8h https://t.co/AVYE722zJW https://t.co/EXPxap0edt
";irrelevant;neutral;high;unrelated;http://twitter.com/sajjad_alipour4/statuses/1181352365837967366
123;131;"@LilaGraceRose @Refugees You have never cared about the former.
";irrelevant;neutral;high;unrelated;http://twitter.com/IjazMir75960948/statuses/1181303733256196096
124;132;@MajorPoonia @ImranKhanPTI @OfficialDGISPR @iVeenaKhan @ImranKhanPTI @SMQureshiPTI @OfficialDGISPR @fizashoaibb @yousaf_ana @kirannazsamaa @KTHopkins @Rabipirzada @SAfridiOfficial @HinaRKhar @fizaakbarkhan @HamidMirPAK @RadioPakistan @hrw @UNHumanRights @;irrelevant;neutral;low;unrelated;http://twitter.com/reem07057030/statuses/1181378270421569542
125;133;@manakgupta @UNRWA @UN @INCIndia @paulpogba @Refugees @UNGeneva @MikeTyson @MohamedBinZayed Free Kashmir from Indian oppression. India must stop the ethnic cleansing of innocent Kashmiris. The world must condemn India!;irrelevant;neutral;medium;unrelated;http://twitter.com/HamzaDuhu/statuses/1181303424119386118
126;134;"@MarionBoeker @Refugees @UNGeneva Earth
";irrelevant;neutral;low;unrelated;http://twitter.com/davidkingtheo/statuses/1181298592159604738
127;135;@MattReynoldsDC @RefugeesChief @Rotary @DukeUNCRotary @UNC @DukeU @UNC_Global @unccgi @DukeDCID @DukeSanford @Refugees @USIP #StandWithIraqiRefugees We deserve to be given a second chance to live with dignity... to live as humans ... to be ourselves and m;irrelevant;neutral;low;unrelated;http://twitter.com/iraqi3105/statuses/1181295744684302337
128;136;@MattReynoldsDC @RefugeesChief @Rotary @DukeUNCRotary @UNC @DukeU @UNC_Global @unccgi @DukeDCID @DukeSanford @Refugees @USIP All refugees are easy preys in the hands of smugglers because of hopeless... Many Iraqi asylum seekers and refugees lost their liv;irrelevant;neutral;medium;unrelated;http://twitter.com/be__la00/statuses/1181233378231820289
129;137;@MattReynoldsDC @RefugeesChief @Rotary @DukeUNCRotary @UNC @DukeU @UNC_Global @unccgi @DukeDCID @DukeSanford @Refugees @USIP As a fair world..looking for every legal thing..should be fair with legal Iraqi asylum seekers&refugees to rescue them from the lo;irrelevant;neutral;low;unrelated;http://twitter.com/Samira55476616/statuses/1100830194837999616
130;138;"@MSNBC @RichardEngel 🔥‼️When Kurds get massacred,Trump needs REMOVAL ASAP w/PRISON for crimes against humanity @NewYorkStateAG @NewYorkFBI @UNHumanRights @Refugees @NATO @jacindaardern @TurnbullMalcolm @JustinTrudeau @SpeakerPelosi @RepJerryNadler @RepAdamSchiff @RepCummings @RepMaxineWaters
";irrelevant;negative;high;unrelated;http://twitter.com/Thebeak/statuses/1100869971150802953
131;139;@MattReynoldsDC @RefugeesChief @Rotary @DukeUNCRotary @UNC @DukeU @UNC_Global @unccgi @DukeDCID @DukeSanford @Refugees @USIP Iraqi refugees and asylum seekers need resettlement. #StandWithIraqiRefugees Iraqi refugees and asylum seekers waited for a long t;irrelevant;neutral;low;unrelated;http://twitter.com/ebneadam/statuses/1172617085714755584
132;140;@MattReynoldsDC @RefugeesChief @Rotary @DukeUNCRotary @UNC @DukeU @UNC_Global @unccgi @DukeDCID @DukeSanford @Refugees @USIP Let the hope of Iraqi asylum seekers and refugees turns green by helping them to reach the resettlement to componsate them the lon;irrelevant;neutral;low;unrelated;http://twitter.com/RichardTahan/statuses/1172912085887590401
133;141;@MattSaltmarsh @BBCr4today @Refugees @UNmigration @MSF_Sea @yaxle Iraqi asylum seekers&refugees' dream is a safe &stable life.. They have talents,ambitions, skills&dreams to achieve. But the neglecting&delaying of their files for3to6yrs hurt them. They lo;irrelevant;neutral;medium;unrelated;http://twitter.com/RichardTahan/statuses/1172912036520648705
134;142;@NVMovingForward @realDonaldTrump @SenateGOP @HouseGOP @DHSgov @Refugees https://t.co/xcPAlYryXZ I wish we already had a competent sane president vice president who would listen to our own intelligence instead of Russia! Or better yet had any intelligence;irrelevant;negative;medium;unrelated;http://twitter.com/MsSDuggal/statuses/1180792505476014080
135;143;"@OlugbengaAyann2 @UN @Refugees @UN_Women @HouseGOP @Cabinet @seyiamakinde @realDonaldTrump @BorisJohnson @EmmanuelMacron @anticorruption @hrw @HRC @BBCAfrica @AfricanUnionUN @ecowas @HouseNGR @NGRPresident @NGRSenate @IsraeliPM PRECISELY
";irrelevant;negative;high;unrelated;http://twitter.com/ayimunofficial/statuses/1100943543143522304
136;144;@MelissaFleming @antonioguterres @UN @Refugees Go help Venezuela people who are trapped in their hell!!;irrelevant;neutral;high;unrelated;http://twitter.com/AtiiSube/statuses/1172811445396004864
137;145;@minipillai08 @AshiWords To all the organizations tagged here, please interview more people like the woman in the above video, and get a clear picture of what happened in Kashmir, why repeal of Article 370 was long overdue. @UN @UN_HRC @UN_Women @UN_PGA @;irrelevant;neutral;medium;unrelated;http://twitter.com/one_minute___/statuses/1100808541101674496
138;146;"@PompadourOf @UN @Refugees That's Socialism for ya.
";irrelevant;negative;high;unrelated;http://twitter.com/HomeKashana/statuses/1181129653660143616
139;147;@MIYAVI_OFFICIAL @Refugees Many of #IranianRefugeesInTurkey are currently blocked and cannot ask for your support. Sure, you'll block me too. 😢 You muffle any sound that begs for help. 😶 #Resettlement4Iranian #WithALittleHelp #WithRefugees #RefugeesWelc;irrelevant;neutral;low;unrelated;http://twitter.com/DemirelJimmy/statuses/1100913889699643392
140;148;"@MSF_Sea @AubergeMigrants @InfoMigrants_fr @Refugees @PVolontaires @lacimade @MigrantsTous @M_RSection_Fr @Migrants_Info @UNmigration @IOMChief @seawatch_intl @Franceterdasile @Ce_Schmitt @Kartik__Raj @diandralouarn @chaboite @Marius_Rx @pierrehenry75 @UNHCRfrance @Le_HCR
";irrelevant;neutral;low;unrelated;http://twitter.com/jha_mj/statuses/1172855165436579842
141;149;@NewshubNZ @UN @UNHumanRights #UNGA #UN #UNGA2019 #UNGA74 @UNFCCC @UNDP @UN_News_Centre @Refugees @UNESCAP @UNOPS @UNCTAD @UNStats @UNGEI @free_equal @UWC_IO @MeTooEP;irrelevant;neutral;low;unrelated;http://twitter.com/jha_mj/statuses/1172858391137406982
142;150;@njiban1 @UN @cnni @Maggie_DeBlock @Refugees @PressSec @antonioguterres @AsstSecStateAF @StateDept @BBCOne @Europarl_EN @CNN @USUN @NRC_Egeland @AJENews @CGVS_CGRA @mbachelet @BorisJohnson @FinlandUN @BelgiumUNGeneva @UKParliament @UN_Cameroon @GermanyUN ;irrelevant;neutral;low;unrelated;http://twitter.com/tozanbey58/statuses/1100811800252157952
143;151;"@NoshinBashir @Refugees @UNGeneva Such a great idea,- but on which planet?
";irrelevant;neutral;medium;unrelated;http://twitter.com/MansurKarc/statuses/1100811890148687872
144;152;"@PaternusP @haydenblack @realDonaldTrump @USMC @USArmy @CIA @RedCross @Refugees How are the U.S. interests being served in these regional fights?
";irrelevant;neutral;medium;unrelated;http://twitter.com/aenergiebewust/statuses/1145254618919841794
145;153;"@pfoloshi4 @Chefy187 @WorldVisionZamo @Refugees What do you mean? What did I do where?
";irrelevant;neutral;medium;unrelated;http://twitter.com/nopexinfinity/statuses/1172797937300254720
146;154;@PTInottingham @BBCUrdu @NYDailyNews @Reuters @SkyNews @BBCWorld @ReutersUS @ABC @Newsweek @DailyMirror @Telegraph @ChinaDaily @DailyMailUK @Daily_Express @UN @OIC_OCI @UNSCO_MEPP @UNHumanRights @UNICEF @Refugees @amnesty @hrw @Humanists_UK https://t.co/2;irrelevant;neutral;low;unrelated;http://twitter.com/scotttrotter2/statuses/1145279022282268675
